,type,typicality_score,dir,top5_labels,label,7_score
16,Beach,48.4,Image/All_Cropped\Beach\1.jpg,"{'promontory': 0.4843391478061676, 'seashore': 0.25346800684928894, 'cliff': 0.09386710822582245, 'breakwater': 0.03763490542769432, 'beacon': 0.03384986147284508}",promontory,3.4
17,Beach,51.5,Image/All_Cropped\Beach\10.jpg,"{'seashore': 0.5151326656341553, 'sandbar': 0.23004435002803802, 'promontory': 0.03462473303079605, 'catamaran': 0.013494840823113918, 'breakwater': 0.013135706074535847}",seashore,3.6
18,Beach,67.3,Image/All_Cropped\Beach\11.jpg,"{'geyser': 0.6726934909820557, 'seashore': 0.07013799250125885, 'drilling platform': 0.05209748074412346, 'volcano': 0.04619535431265831, 'space shuttle': 0.04010748118162155}",geyser,4.7
19,Beach,40.4,Image/All_Cropped\Beach\12.jpg,"{'seashore': 0.4039233326911926, 'promontory': 0.2889629304409027, 'lakeside': 0.08270696550607681, 'sandbar': 0.048167016357183456, 'cliff': 0.024664955213665962}",seashore,2.8
20,Beach,27.9,Image/All_Cropped\Beach\13.jpg,"{'seashore': 0.2787395715713501, 'sandbar': 0.12976162135601044, 'promontory': 0.02954350970685482, 'lakeside': 0.025092436000704765, 'leatherback turtle': 0.017549414187669754}",seashore,2.0
21,Beach,53.2,Image/All_Cropped\Beach\14.jpg,"{'seashore': 0.5317563414573669, 'sandbar': 0.22423429787158966, 'promontory': 0.08641862124204636, 'leatherback turtle': 0.025818267837166786, 'lakeside': 0.01707090437412262}",seashore,3.7
22,Beach,75.5,Image/All_Cropped\Beach\15.jpg,"{'promontory': 0.7552651166915894, 'seashore': 0.14965099096298218, 'cliff': 0.04371232911944389, 'lakeside': 0.017862016335129738, 'valley': 0.009203325025737286}",promontory,5.3
23,Beach,78.7,Image/All_Cropped\Beach\16.jpg,"{'promontory': 0.7866764068603516, 'seashore': 0.07973866164684296, 'cliff': 0.05502515286207199, 'lakeside': 0.019996946677565575, 'valley': 0.018452433869242668}",promontory,5.5
24,Beach,24.7,Image/All_Cropped\Beach\2.jpg,"{'speedboat': 0.24731943011283875, 'seashore': 0.24565444886684418, 'lakeside': 0.2389337569475174, 'canoe': 0.08942243456840515, 'sandbar': 0.04330570623278618}",speedboat,1.7
25,Beach,74.1,Image/All_Cropped\Beach\3.jpg,"{'seashore': 0.7408772110939026, 'sandbar': 0.14235615730285645, 'lakeside': 0.0653499886393547, 'promontory': 0.021051108837127686, 'valley': 0.0052709924057126045}",seashore,5.2
26,Beach,46.2,Image/All_Cropped\Beach\4.jpg,"{'seashore': 0.4620717763900757, 'lakeside': 0.0966060608625412, 'sandbar': 0.08217276632785797, 'geyser': 0.0711173489689827, 'promontory': 0.043644022196531296}",seashore,3.2
27,Beach,65.9,Image/All_Cropped\Beach\5.jpg,"{'seashore': 0.6587571501731873, 'promontory': 0.2461804449558258, 'cliff': 0.03363776206970215, 'lakeside': 0.02656516060233116, 'sandbar': 0.0050685047172009945}",seashore,4.6
28,Beach,21.9,Image/All_Cropped\Beach\6.jpg,"{'seashore': 0.21890750527381897, 'dock': 0.13399221003055573, 'lakeside': 0.07598312944173813, 'pole': 0.06276059150695801, 'boathouse': 0.040873344987630844}",seashore,1.5
29,Beach,50.0,Image/All_Cropped\Beach\7.jpg,"{'sandbar': 0.500126838684082, 'seashore': 0.3062776029109955, 'lakeside': 0.03858250752091408, 'speedboat': 0.02330082841217518, 'promontory': 0.021514534950256348}",sandbar,3.5
30,Beach,51.1,Image/All_Cropped\Beach\8.jpg,"{'sandbar': 0.5110137462615967, 'seashore': 0.3141917586326599, 'lakeside': 0.039192087948322296, 'speedboat': 0.027008429169654846, 'breakwater': 0.024456527084112167}",sandbar,3.6
31,Beach,42.3,Image/All_Cropped\Beach\9.jpg,"{'seashore': 0.4228431284427643, 'coral reef': 0.15050861239433289, 'peacock': 0.08813366293907166, 'snorkel': 0.04568367451429367, 'lakeside': 0.039506543427705765}",seashore,3.0
32,Mug,68.9,Image/All_Cropped\Mug\1.jpg,"{'coffee mug': 0.6889994740486145, 'pill bottle': 0.1174672320485115, 'whiskey jug': 0.07759061455726624, 'sunscreen': 0.039680350571870804, 'cup': 0.018448924645781517}",coffee mug,4.8
33,Mug,34.4,Image/All_Cropped\Mug\10.jpg,"{'cup': 0.34365105628967285, 'coffee mug': 0.320395290851593, 'water jug': 0.06796887516975403, 'pitcher': 0.05346663296222687, 'measuring cup': 0.04883239045739174}",cup,2.4
34,Mug,47.5,Image/All_Cropped\Mug\11.jpg,"{'coffeepot': 0.4745103120803833, 'coffee mug': 0.2088254690170288, 'water jug': 0.07781277596950531, 'cup': 0.06748510152101517, 'pitcher': 0.04037385806441307}",coffeepot,3.3
35,Mug,15.7,Image/All_Cropped\Mug\12.jpg,"{'cup': 0.15654364228248596, 'coffeepot': 0.1112690269947052, 'mortar': 0.06305313110351562, 'beaker': 0.059874601662158966, 'soap dispenser': 0.05926243215799332}",cup,1.1
36,Mug,30.5,Image/All_Cropped\Mug\13.jpg,"{'eggnog': 0.3052560091018677, 'espresso': 0.2408793717622757, 'cup': 0.1857307255268097, 'consomme': 0.0587933287024498, 'coffee mug': 0.03890763223171234}",eggnog,2.1
37,Mug,35.6,Image/All_Cropped\Mug\14.jpg,"{'coffeepot': 0.35620665550231934, 'espresso maker': 0.25794529914855957, 'measuring cup': 0.07576572895050049, 'water jug': 0.06748049706220627, 'soap dispenser': 0.04020063579082489}",coffeepot,2.5
