,type,typicality_score,dir,top5_labels,7_score
15,Mountain,44.2,/content/drive/MyDrive/typicality/Typicality_project/Image/Landscape_Scenery/Mountain/14.jpg,"{'alp': 0.44168728590011597, 'valley': 0.2618657946586609, 'cliff': 0.04545772448182106, 'promontory': 0.044846657663583755, 'volcano': 0.03264514356851578}",3.1
16,Beach,16.6,/content/drive/MyDrive/typicality/Typicality_project/Image/Landscape_Scenery/Beach/11.jpg,"{'lakeside': 0.1659550666809082, 'breakwater': 0.11935098469257355, 'drilling platform': 0.07085251063108444, 'geyser': 0.06720878928899765, 'dock': 0.05977140739560127}",1.2
17,Beach,63.3,/content/drive/MyDrive/typicality/Typicality_project/Image/Landscape_Scenery/Beach/7.jpg,"{'sandbar': 0.6332362294197083, 'seashore': 0.2813124656677246, 'lakeside': 0.039330098778009415, 'breakwater': 0.0027703389059752226, 'promontory': 0.002468131948262453}",4.4
18,Beach,57.9,/content/drive/MyDrive/typicality/Typicality_project/Image/Landscape_Scenery/Beach/16.jpg,"{'promontory': 0.5785093903541565, 'seashore': 0.13038408756256104, 'cliff': 0.07837868481874466, 'lakeside': 0.029164457693696022, 'grey whale': 0.026263799518346786}",4.1
19,Beach,60.2,/content/drive/MyDrive/typicality/Typicality_project/Image/Landscape_Scenery/Beach/3.jpg,"{'seashore': 0.6017662882804871, 'sandbar': 0.2862338423728943, 'lakeside': 0.05905997008085251, 'promontory': 0.010448219254612923, 'geyser': 0.006963934283703566}",4.2
20,Beach,51.3,/content/drive/MyDrive/typicality/Typicality_project/Image/Landscape_Scenery/Beach/9.jpg,"{'seashore': 0.5126000046730042, 'sandbar': 0.07836166769266129, 'lakeside': 0.04398844763636589, 'patio': 0.02353527396917343, 'valley': 0.022035835310816765}",3.6
21,Beach,66.5,/content/drive/MyDrive/typicality/Typicality_project/Image/Landscape_Scenery/Beach/10.jpg,"{'seashore': 0.6649277806282043, 'sandbar': 0.30777791142463684, 'lakeside': 0.003468394512310624, 'swimming trunks': 0.0019450493855401874, 'breakwater': 0.0016938402550294995}",4.7
22,Beach,82.0,/content/drive/MyDrive/typicality/Typicality_project/Image/Landscape_Scenery/Beach/5.jpg,"{'seashore': 0.8196288347244263, 'lakeside': 0.06576120853424072, 'promontory': 0.041378676891326904, 'sandbar': 0.020958807319402695, 'breakwater': 0.00659050140529871}",5.7
23,Beach,26.0,/content/drive/MyDrive/typicality/Typicality_project/Image/Landscape_Scenery/Beach/13.jpg,"{'seashore': 0.25963181257247925, 'sandbar': 0.09643672406673431, 'grey whale': 0.06378021091222763, 'lakeside': 0.04830781742930412, 'catamaran': 0.02877569943666458}",1.8
24,Beach,56.4,/content/drive/MyDrive/typicality/Typicality_project/Image/Landscape_Scenery/Beach/15.jpg,"{'promontory': 0.5641013979911804, 'seashore': 0.1514987349510193, 'lakeside': 0.057590898126363754, 'cliff': 0.03252561390399933, 'grey whale': 0.014399503357708454}",3.9
25,Beach,22.9,/content/drive/MyDrive/typicality/Typicality_project/Image/Landscape_Scenery/Beach/2.jpg,"{'seashore': 0.22927123308181763, 'canoe': 0.181502565741539, 'speedboat': 0.1571679562330246, 'lakeside': 0.15074272453784943, 'sandbar': 0.04007820785045624}",1.6
26,Beach,56.7,/content/drive/MyDrive/typicality/Typicality_project/Image/Landscape_Scenery/Beach/1.jpg,"{'promontory': 0.5670537948608398, 'seashore': 0.3079318404197693, 'breakwater': 0.02282215841114521, 'cliff': 0.01447729766368866, 'lakeside': 0.012669319286942482}",4.0
27,Beach,74.0,/content/drive/MyDrive/typicality/Typicality_project/Image/Landscape_Scenery/Beach/8.jpg,"{'sandbar': 0.7398717999458313, 'seashore': 0.20300810039043427, 'breakwater': 0.030009277164936066, 'lakeside': 0.0065560596995055676, 'promontory': 0.0039017086382955313}",5.2
28,Beach,31.9,/content/drive/MyDrive/typicality/Typicality_project/Image/Landscape_Scenery/Beach/12.jpg,"{'seashore': 0.3190944194793701, 'promontory': 0.213226318359375, 'lakeside': 0.13411103188991547, 'breakwater': 0.09505213052034378, 'sandbar': 0.03387602046132088}",2.2
29,Beach,72.6,/content/drive/MyDrive/typicality/Typicality_project/Image/Landscape_Scenery/Beach/14.jpg,"{'seashore': 0.7264508008956909, 'sandbar': 0.1325875222682953, 'promontory': 0.02280827797949314, 'wreck': 0.01843063347041607, 'breakwater': 0.013872546143829823}",5.1
30,Beach,67.4,/content/drive/MyDrive/typicality/Typicality_project/Image/Landscape_Scenery/Beach/6.jpg,"{'seashore': 0.6742635369300842, 'lakeside': 0.07063361257314682, 'sandbar': 0.06637584418058395, 'breakwater': 0.03088577277958393, 'pier': 0.02856544591486454}",4.7
31,Beach,75.3,/content/drive/MyDrive/typicality/Typicality_project/Image/Landscape_Scenery/Beach/4.jpg,"{'seashore': 0.7525351643562317, 'sandbar': 0.04784113168716431, 'lakeside': 0.029076354578137398, 'beacon': 0.02521314099431038, 'breakwater': 0.013507494702935219}",5.3
32,Mug,58.9,/content/drive/MyDrive/typicality/Typicality_project/Image/Daily_Object/Mug/15.jpg,"{'coffee mug': 0.5890428423881531, 'cup': 0.26809486746788025, 'measuring cup': 0.0255601704120636, 'bucket': 0.012339985929429531, 'water jug': 0.012165768072009087}",4.1
33,Mug,13.5,/content/drive/MyDrive/typicality/Typicality_project/Image/Daily_Object/Mug/4.jpg,"{'coffee mug': 0.13505856692790985, 'toilet seat': 0.07296428829431534, 'pitcher': 0.058082785457372665, 'cradle': 0.03593003749847412, 'cup': 0.030977189540863037}",0.9
34,Mug,47.1,/content/drive/MyDrive/typicality/Typicality_project/Image/Daily_Object/Mug/2.jpeg,"{'coffee mug': 0.4712458550930023, 'cup': 0.30653470754623413, 'pitcher': 0.07692187279462814, 'water jug': 0.0419807992875576, 'measuring cup': 0.01479117851704359}",3.3
35,Mug,79.1,/content/drive/MyDrive/typicality/Typicality_project/Image/Daily_Object/Mug/1.jpg,"{'coffee mug': 0.7909424901008606, 'cup': 0.07750449329614639, 'pill bottle': 0.045695960521698, 'water jug': 0.014351924881339073, 'measuring cup': 0.011283006519079208}",5.5
36,Mug,41.6,/content/drive/MyDrive/typicality/Typicality_project/Image/Daily_Object/Mug/11.jpg,"{'coffee mug': 0.4158858358860016, 'coffeepot': 0.1663878858089447, 'cup': 0.16210363805294037, 'pitcher': 0.11699662357568741, 'water jug': 0.07965636253356934}",2.9
37,Mug,55.8,/content/drive/MyDrive/typicality/Typicality_project/Image/Daily_Object/Mug/3.jpg,"{'mixing bowl': 0.557742178440094, 'soup bowl': 0.24591529369354248, 'cup': 0.0369073711335659, 'bucket': 0.017258062958717346, 'espresso': 0.0144554004073143}",3.9
38,Mug,58.2,/content/drive/MyDrive/typicality/Typicality_project/Image/Daily_Object/Mug/14.jpg,"{'coffee mug': 0.5824713706970215, 'cup': 0.25596094131469727, 'coffeepot': 0.07050992548465729, 'espresso maker': 0.017736254259943962, 'water jug': 0.015536812134087086}",4.1
39,Mug,40.9,/content/drive/MyDrive/typicality/Typicality_project/Image/Daily_Object/Mug/12.jpg,"{'coffee mug': 0.409199982881546, 'cup': 0.3776801526546478, 'pitcher': 0.03934174031019211, 'water jug': 0.027663085609674454, 'coffeepot': 0.02441648580133915}",2.9
40,Mug,87.3,/content/drive/MyDrive/typicality/Typicality_project/Image/Daily_Object/Mug/7.jpg,"{'espresso': 0.8725408911705017, 'coffee mug': 0.0498279444873333, 'cup': 0.022589731961488724, 'chocolate sauce': 0.00409329729154706, 'eggnog': 0.002356189303100109}",6.1
41,Mug,67.0,/content/drive/MyDrive/typicality/Typicality_project/Image/Daily_Object/Mug/5.jpg,"{'cup': 0.6698469519615173, 'coffee mug': 0.17523415386676788, 'espresso': 0.060903046280145645, 'coffeepot': 0.01353494543582201, 'eggnog': 0.010303139686584473}",4.7
42,Mug,57.6,/content/drive/MyDrive/typicality/Typicality_project/Image/Daily_Object/Mug/8.jpg,"{'coffee mug': 0.5763759613037109, 'cup': 0.38302531838417053, 'pitcher': 0.012695365585386753, 'water jug': 0.0073922500014305115, 'coffeepot': 0.006517674308270216}",4.0
43,Mug,47.3,/content/drive/MyDrive/typicality/Typicality_project/Image/Daily_Object/Mug/13.jpg,"{'cup': 0.4733070433139801, 'espresso': 0.2034076750278473, 'coffee mug': 0.06038728356361389, 'beer glass': 0.05712919682264328, 'water jug': 0.04499167948961258}",3.3
44,Mug,37.0,/content/drive/MyDrive/typicality/Typicality_project/Image/Daily_Object/Mug/9.jpeg,"{'cup': 0.36955663561820984, 'pitcher': 0.3206818997859955, 'water jug': 0.06960643082857132, 'coffee mug': 0.06636757403612137, 'washbasin': 0.021679319441318512}",2.6
45,Mug,55.5,/content/drive/MyDrive/typicality/Typicality_project/Image/Daily_Object/Mug/10.jpg,"{'coffee mug': 0.5551150441169739, 'cup': 0.3650292456150055, 'pitcher': 0.025789398699998856, 'water jug': 0.011409631930291653, 'measuring cup': 0.010073100216686726}",3.9
46,Mug,44.6,/content/drive/MyDrive/typicality/Typicality_project/Image/Daily_Object/Mug/6.jpg,"{'coffee mug': 0.44571152329444885, 'cup': 0.2444021850824356, 'measuring cup': 0.09053978323936462, 'water jug': 0.03070194274187088, 'beer glass': 0.020942438393831253}",3.1
47,Mug,44.3,/content/drive/MyDrive/typicality/Typicality_project/Image/Daily_Object/Mug/16.jpg,"{'coffee mug': 0.44255533814430237, 'cup': 0.24854549765586853, 'pitcher': 0.07463650405406952, 'measuring cup': 0.0471462607383728, 'water jug': 0.03334441035985947}",3.1
48,Banana,36.1,/content/drive/MyDrive/typicality/Typicality_project/Image/Daily_Object/Banana/16.jpg,"{'banana': 0.3612446188926697, 'nematode': 0.09381197392940521, 'nipple': 0.0857791006565094, 'hook': 0.05664326623082161, 'whistle': 0.020962528884410858}",2.5
